Name,Division,Conference,City,State,Academic_Website,Athletic_Website,NCAA_ID,Data_Quality
"Colorado State University","NCAA DI","Mountain West Conference","","CO","https://www.colostate.edu","https://www.csurams.com","156",100
"Columbia University-Barnard College","NCAA DI","The Ivy League","","NY","https://www.columbia.edu","https://www.gocolumbialions.com/","158",100
"Coppin State University","NCAA DI","Mid-Eastern Athletic Conf.","","MD","https://www.coppin.edu","https://www.coppinstatesports.com","165",100
"Cornell University","NCAA DI","The Ivy League","","NY","https://www.cornell.edu","https://www.cornellbigred.com","167",100
"Creighton University","NCAA DI","Big East Conference","","NE","https://www.creighton.edu/node/165768","https://gocreighton.com/","169",100
"Dartmouth College","NCAA DI","The Ivy League","","NH","https://www.dartmouth.edu","https://www.dartmouthsports.com","172",100
"Davidson College","NCAA DI","Atlantic 10 Conference","","NC","https://www.davidson.edu","https://www.davidsonwildcats.com","173",100
"Delaware State University","NCAA DI","Mid-Eastern Athletic Conf.","","DE","https://www.desu.edu","https://www.dsuhornets.com/","178",100
"DePaul University","NCAA DI","Big East Conference","","IL","https://www.depaul.edu","https://www.depaulbluedemons.com","176",100
"Drake University","NCAA DI","Missouri Valley Conference","","IA","https://www.drake.edu/","https://godrakebulldogs.com/","189",100
"Drexel University","NCAA DI","Coastal Athletic Association","","PA","https://www.drexel.edu","https://www.drexeldragons.com","191",100
"Duke University","NCAA DI","Atlantic Coast Conference","","NC","https://www.duke.edu","https://www.goduke.com","193",100
"Duquesne University","NCAA DI","Atlantic 10 Conference","","PA","https://www.duq.edu","https://www.GoDuquesne.com","194",100
"East Carolina University","NCAA DI","American Conference","","NC","https://www.ecu.edu","https://www.ecupirates.com","196",100
"East Tennessee State University","NCAA DI","Southern Conference","","TN","https://www.etsu.edu","https://www.etsubucs.com","198",100
"East Texas A&M University","NCAA DI","Southland Conference","","TX","https://www.etamu.edu","https://www.lionathletics.com","199",100
"Eastern Illinois University","NCAA DI","Ohio Valley Conference","","IL","https://www.eiu.edu","https://www.eiupanthers.com","201",100
"Eastern Kentucky University","NCAA DI","Atlantic Sun Conference","","KY","https://www.eku.edu","https://www.ekusports.com","202",100
"Eastern Michigan University","NCAA DI","Mid-American Conference","","MI","https://www.emich.edu","https://www.emueagles.com","204",100
"Eastern Washington University","NCAA DI","Big Sky Conference","","WA","https://www.ewu.edu/","https://goeags.com","207",100
"Elon University","NCAA DI","Coastal Athletic Association","","NC","https://www.elon.edu","https://www.elonphoenix.com","1068",100
"Fairfield University","NCAA DI","Metro Atlantic Athletic Conference","","CT","https://fairfield.edu","https://fairfieldstags.com","220",100
"Fairleigh Dickinson University, Metropolitan Campus","NCAA DI","Northeast Conference","","NJ","https://www.fdu.edu","https://www.fduknights.com","222",100
"Florida A&M University","NCAA DI","Southwestern Athletic Conf.","","FL","https://www.famu.edu","https://www.famuathletics.com/","228",100
"Florida Atlantic University","NCAA DI","American Conference","","FL","https://www.fau.edu","https://www.fausports.com","229",100
"Florida Gulf Coast University","NCAA DI","Atlantic Sun Conference","","FL","https://www.fgcu.edu/","https://fgcuathletics.com/","28755",100
"Florida International University","NCAA DI","Conference USA","","FL","https://www.fiu.edu","https://www.fiusports.com","231",100
"Florida State University","NCAA DI","Atlantic Coast Conference","","FL","https://www.fsu.edu","https://www.seminoles.com","234",100
"Fordham University","NCAA DI","Atlantic 10 Conference","","NY","https://www.fordham.edu","https://www.fordhamsports.com","236",100
"Furman University","NCAA DI","Southern Conference","","SC","https://www.furman.edu","https://www.furmanpaladins.com","244",100
"Gardner-Webb University","NCAA DI","Big South Conference","","NC","https://gardner-webb.edu","https://gwusports.com/","1092",100
"George Mason University","NCAA DI","Atlantic 10 Conference","","VA","https://www.gmu.edu","https://www.gomason.com","248",100
"George Washington University","NCAA DI","Atlantic 10 Conference","","DC","https://www.gwu.edu","https://www.gwsports.com/index.html","249",100
"Georgetown University","NCAA DI","Big East Conference","","DC","https://georgetown.edu","https://guhoyas.com","251",100
"Georgia Institute of Technology","NCAA DI","Atlantic Coast Conference","","GA","https://www.gatech.edu","https://www.ramblinwreck.com","255",100
"Georgia Southern University","NCAA DI","Sun Belt Conference","","GA","https://georgiasouthern.edu","https://gseagles.com","253",100
"Georgia State University","NCAA DI","Sun Belt Conference","","GA","https://gsu.edu","https://georgiastatesports.com","254",100
"Gonzaga University","NCAA DI","West Coast Conference","","WA","https://www.gonzaga.edu","https://www.gozags.com","260",100
"Grambling State University","NCAA DI","Southwestern Athletic Conf.","","LA","https://www.gram.edu","https://www.gsutigers.com","261",100
"Grand Canyon University","NCAA DI","Mountain West Conference","","AZ","https://www.gcu.edu/","https://www.gculopes.com","1104",100
"Hampton University","NCAA DI","Coastal Athletic Association","","VA","https://hamptonu.edu","https://hamptonpirates.com","270",100
"Harvard University","NCAA DI","The Ivy League","","MA","https://www.harvard.edu/","https://gocrimson.com/","275",100
"High Point University","NCAA DI","Big South Conference","","NC","https://www.highpoint.edu","https://www.highpointpanthers.com","19651",100
"Hofstra University","NCAA DI","Coastal Athletic Association","","NY","https://www.hofstra.edu","https://www.gohofstra.com","283",100
"Houston Christian University","NCAA DI","Southland Conference","","TX","https://www.hc.edu","https://www.hcuhuskies.com","287",100
"Howard University","NCAA DI","Mid-Eastern Athletic Conf.","","DC","https://www.howard.edu","https://www.hubison.com","290",100
