Name,Division,City,State,Website,Phone,NCAA_ID,Data_Quality
"Colorado Christian University","NCAA D1","","CO","https://www.ccu.edu","","11403",70
"Colorado College","NCAA D1","","CO","https://www.coloradocollege.edu/","","154",70
"Colorado Mesa University","NCAA D1","","CO","https://coloradomesa.edu","","11416",70
"Colorado School of Mines","NCAA D1","","CO","https://mines.edu","","155",70
"Colorado State University","NCAA D1","","CO","https://www.colostate.edu","","156",70
"Colorado State University Pueblo","NCAA D1","","CO","https://www.csupueblo.edu","","2720",70
"Columbia University-Barnard College","NCAA D1","","NY","https://www.columbia.edu","","158",70
"Columbus State University","NCAA D1","","GA","https://www.columbusstate.edu","","159",70
"Concord University","NCAA D1","","WV","https://www.concord.edu","","1028",70
"Concordia College, Moorhead","NCAA D1","","MN","https://www.concordiacollege.edu","","161",70
"Concordia University Chicago","NCAA D1","","IL","https://www.cuchicago.edu","","160",70
"Concordia University Irvine","NCAA D1","","CA","https://www.cui.edu","","30199",70
"Concordia University Texas","NCAA D1","","TX","https://www.concordia.edu/","","24400",70
"Concordia University Wisconsin","NCAA D1","","WI","https://www.cuw.edu","","1036",70
"Concordia University, St. Paul","NCAA D1","","MN","https://www.csp.edu","","9081",70
"Connecticut College","NCAA D1","","CT","https://www.conncoll.edu","","163",70
"Converse University","NCAA D1","","SC","https://www.converse.edu","","8935",70
"Coppin State University","NCAA D1","","MD","https://www.coppin.edu","","165",70
"Cornell College","NCAA D1","","IA","https://www.cornellcollege.edu","","166",70
"Cornell University","NCAA D1","","NY","https://www.cornell.edu","","167",70
"Covenant College","NCAA D1","","GA","https://www.covenant.edu","","30111",70
"Creighton University","NCAA D1","","NE","https://www.creighton.edu/node/165768","","169",70
"Crown College (Minnesota)","NCAA D1","","MN","https://www.crown.edu","","30035",70
"Curry College","NCAA D1","","MA","https://www.curry.edu","","170",70
"D'Youville University","NCAA D1","","NY","https://www.dyc.edu","","1059",70
"Daemen University","NCAA D1","","NY","https://www.daemen.edu","","30174",70
"Dallas Baptist University","NCAA D1","","TX","https://www.dbu.edu","","1045",70
"Dartmouth College","NCAA D1","","NH","https://www.dartmouth.edu","","172",70
"Davenport University","NCAA D1","","MI","https://www.davenport.edu/","","30221",70
"Davidson College","NCAA D1","","NC","https://www.davidson.edu","","173",70
"Davis & Elkins College","NCAA D1","","WV","https://www.dewv.edu","","174",70
"Dean College","NCAA D1","","MA","https://www.dean.edu/","","30219",70
"Delaware State University","NCAA D1","","DE","https://www.desu.edu","","178",70
"Delaware Valley University","NCAA D1","","PA","https://www.delval.edu","","179",70
"Delta State University","NCAA D1","","MS","https://www.deltastate.edu","","181",70
"Denison University","NCAA D1","","OH","https://www.denison.edu","","182",70
"DePaul University","NCAA D1","","IL","https://www.depaul.edu","","176",70
"DePauw University","NCAA D1","","IN","https://www.depauw.edu","","177",70
"DeSales University","NCAA D1","","PA","https://www.desales.edu","","20",70
"Dickinson College","NCAA D1","","PA","https://www.dickinson.edu","","185",70
"Dominican University (Illinois)","NCAA D1","","IL","https://www.dom.edu","","1332",70
"Dominican University New York","NCAA D1","","NY","https://www.duny.edu","","8956",70
"Dominican University of California","NCAA D1","","CA","https://www.dominican.edu","","30118",70
"Drake University","NCAA D1","","IA","https://www.drake.edu/","","189",70
"Drew University","NCAA D1","","NJ","https://www.drew.edu","","190",70
"Drexel University","NCAA D1","","PA","https://www.drexel.edu","","191",70
"Drury University","NCAA D1","","MO","https://www.drury.edu","","1057",70
"Duke University","NCAA D1","","NC","https://www.duke.edu","","193",70
"Duquesne University","NCAA D1","","PA","https://www.duq.edu","","194",70
"Earlham College","NCAA D1","","IN","https://www.earlham.edu","","195",70
"East Carolina University","NCAA D1","","NC","https://www.ecu.edu","","196",70
"East Central University","NCAA D1","","OK","https://www.ecok.edu","","8965",70
